url_length,num_subdomains,has_https,num_hyphens,num_special_chars,has_suspicious_keyword,num_external_links,num_scripts,label
30,1,1,0,0,0,58,145,1
56,0,1,0,0,0,25,39,1
30,1,1,0,0,0,2,39,1
34,1,1,0,0,0,1,35,1
30,1,1,0,0,0,0,1,1
51,1,1,1,0,0,1,13,1
92,0,1,1,0,0,2,3,1
38,1,1,0,0,0,0,26,1
46,1,1,4,0,0,2,0,1
458,1,1,1,11,1,6,21,1
42,1,1,2,0,0,19,48,1
201,1,1,1,0,0,6,19,1
35,1,1,1,0,0,0,0,1
53,0,1,0,0,0,0,0,1
35,1,1,0,0,0,6,3,1
84,2,1,3,0,0,0,1,1
62,1,1,1,0,0,4,3,1
399,1,1,5,13,1,6,21,1
63,1,1,1,0,0,2,12,1
61,1,1,1,0,0,2,12,1
67,1,1,1,0,0,0,3,1
97,2,1,0,0,1,0,0,1
57,1,1,0,0,0,0,1,1
66,1,1,3,1,1,3,0,1
39,1,1,0,0,0,0,1,1
62,1,1,1,0,0,2,3,1
28,1,1,0,0,0,0,0,1
24,0,1,0,0,0,4,0,1
69,1,1,0,0,0,23,14,1
46,1,1,2,0,0,18,58,1
35,1,1,1,0,0,19,57,1
46,1,1,0,0,0,1,2,1
47,1,1,1,0,0,0,3,1
67,1,1,2,1,0,1,1,1
64,1,1,4,0,0,2,9,1
48,1,1,1,0,0,2,3,1
45,1,1,1,0,0,1,0,1
37,1,1,2,0,0,3,0,1
98,2,1,1,0,0,45,9,1
31,2,1,0,0,0,13,14,1
32,1,1,0,0,0,0,8,1
29,1,1,0,0,0,0,15,1
132,1,1,6,0,1,6,99,1
37,2,1,1,0,0,5,1,1
51,0,1,0,0,0,25,26,1
33,1,1,1,0,1,3,0,1
65,1,1,0,0,0,3,0,1
47,1,1,2,0,0,1,0,1
38,1,1,2,0,0,20,15,1
38,1,1,0,0,0,2,1,1
76,1,1,1,1,0,7,9,1
44,1,1,1,0,0,21,62,1
396,2,1,3,4,0,3,18,1
67,1,1,1,0,0,2,8,1
33,1,1,0,0,0,0,1,1
180,1,1,0,6,0,0,7,1
70,1,1,1,0,0,2,3,1
64,1,1,1,0,0,2,3,1
62,1,1,1,0,0,1,6,1
55,1,1,3,0,0,1,0,1
62,1,1,1,0,0,2,6,1
38,1,1,1,0,0,22,15,1
94,1,1,0,0,0,0,0,1
268,0,1,1,1,0,2,3,1
34,1,1,0,0,0,1,26,1
28,1,1,0,0,0,0,0,1
63,1,1,1,0,0,0,2,1
25,0,1,0,0,0,0,0,1
110,1,1,1,0,0,8,0,1
40,1,1,3,0,0,0,27,1
41,1,1,1,0,0,0,11,1
93,0,0,5,0,0,0,0,1
24,0,1,0,0,0,1,4,1
45,1,1,3,0,0,1,5,1
186,1,1,2,0,0,8,19,1
29,1,1,0,0,0,0,1,1
84,0,0,4,0,0,0,0,1
38,1,1,0,0,0,2,3,1
44,1,1,0,0,0,4,11,1
41,1,1,0,0,0,2,4,1
56,2,1,3,0,0,0,4,1
61,1,1,1,0,0,0,3,1
41,1,1,0,0,0,37,61,1
27,1,1,1,0,0,3,0,1
51,1,1,1,0,0,0,0,1
93,0,1,0,0,0,6,1,1
38,1,1,1,0,0,21,12,1
60,1,1,0,0,0,0,2,1
290,2,1,1,0,0,2,5,1
23,1,1,0,0,0,2,3,1
40,1,1,0,1,0,0,0,1
61,2,1,1,0,0,0,2,1
34,1,1,0,0,0,2,3,1
47,1,1,0,0,1,0,9,1
335,1,1,2,15,0,0,2,1
90,0,0,6,0,0,0,0,1
39,1,1,0,0,0,0,11,1
38,1,1,1,0,0,1,0,1
35,1,1,0,0,0,2,6,1
43,1,1,4,0,0,2,0,1
147,1,1,3,0,0,2,5,1
29,1,1,0,0,0,1,27,1
38,1,1,0,0,0,4,11,1
64,1,1,1,0,0,0,2,1
81,1,1,4,0,1,0,0,1
37,0,1,0,0,0,8,8,1
28,1,0,0,0,0,2,0,1
47,2,1,0,0,0,0,16,1
186,1,1,1,0,0,6,19,1
38,1,1,1,0,0,22,15,1
50,1,1,0,0,1,4,15,1
186,1,1,2,0,0,6,19,1
62,1,1,1,0,0,1,3,1
68,0,1,0,0,0,0,15,1
30,1,1,0,0,0,0,0,1
70,0,1,0,0,0,0,0,1
66,1,1,0,0,0,2,1,1
88,0,0,5,0,0,0,0,1
186,1,1,2,0,0,6,19,1
27,0,1,1,0,0,12,27,1
63,5,1,0,0,1,0,7,1
86,1,1,1,0,0,3,0,1
26,1,1,1,0,0,2,0,1
32,1,1,0,0,0,0,0,1
367,1,1,1,11,1,6,21,1
54,2,0,0,0,0,2,3,1
186,1,1,1,0,0,6,19,1
90,1,1,1,4,0,6,2,1
42,1,1,4,0,0,2,0,1
37,2,1,1,0,0,5,1,1
22,0,1,0,0,0,0,1,1
36,1,1,1,0,1,1,0,1
39,1,1,0,0,0,2,10,1
46,1,1,4,0,0,4,3,1
201,1,1,1,0,0,6,19,1
38,1,1,0,0,0,0,1,1
40,1,1,1,0,0,18,58,1
32,1,1,0,0,0,0,1,1
108,1,1,1,0,0,3,5,1
416,1,1,3,17,1,6,21,1
58,0,1,1,0,0,1,2,1
35,1,1,0,0,0,3,0,1
24,0,1,0,0,0,18,42,1
41,1,1,0,0,0,23,14,1
31,1,1,0,0,0,0,1,1
60,0,1,4,0,0,3,17,1
38,1,1,1,0,0,22,15,1
61,1,1,1,0,0,0,2,1
43,1,1,2,0,0,1,4,1
69,0,1,0,0,1,2,9,1
32,1,1,0,0,0,0,1,1
477,2,0,3,15,1,6,21,1
186,1,1,2,0,0,6,19,1
69,1,1,2,1,0,1,1,1
39,1,1,2,0,0,2,3,1
186,1,1,2,0,0,6,19,1
46,1,1,2,0,0,0,3,1
39,1,1,0,0,0,23,14,1
392,1,1,1,0,0,5,8,1
68,1,1,1,0,0,0,2,1
71,0,1,1,0,0,2,3,1
47,1,1,1,0,0,7,18,1
95,1,1,1,1,0,8,2,1
20,0,1,1,0,0,0,5,1
182,1,1,1,11,0,0,1,1
21,0,0,0,0,0,8,0,1
61,1,1,1,0,0,1,2,1
